adc_bits,dac_bits,comparator_noise,settling_fraction,row_drop_case_ohm,spice_row_drop_loss_pct,relative_error,energy_relative,latency_comparisons,useful,interpretation
5,6,0.0,1.0,100.0,6.932031250000015,0.1851205305395241,2.518518518518518,20,0,too much model-facing error
5,6,0.0,0.97,100.0,6.932031250000015,0.1851205305395241,2.518518518518518,20,0,too much model-facing error
5,6,0.004,1.0,100.0,6.932031250000015,0.1851205305395241,2.518518518518518,20,0,too much model-facing error
5,6,0.004,0.97,100.0,6.932031250000015,0.1851205305395241,2.518518518518518,20,0,too much model-facing error
5,6,0.012,1.0,100.0,6.932031250000015,0.1851205305395241,2.518518518518518,20,0,too much model-facing error
5,6,0.012,0.97,100.0,6.932031250000015,0.1851205305395241,2.518518518518518,20,0,too much model-facing error
6,6,0.0,1.0,100.0,6.932031250000015,0.09000426441791687,4.0,24,1,reasonable converter boundary
6,6,0.0,0.97,100.0,6.932031250000015,0.09000426441791687,4.0,24,1,reasonable converter boundary
6,6,0.004,1.0,100.0,6.932031250000015,0.09000426441791687,4.0,24,1,reasonable converter boundary
6,6,0.004,0.97,100.0,6.932031250000015,0.09000426441791687,4.0,24,1,reasonable converter boundary
6,6,0.012,1.0,100.0,6.932031250000015,0.09000426441791687,4.0,24,1,reasonable converter boundary
6,6,0.012,0.97,100.0,6.932031250000015,0.09000426441791687,4.0,24,1,reasonable converter boundary
7,6,0.0,1.0,100.0,6.932031250000015,0.04644464152847725,6.962962962962963,28,1,reasonable converter boundary
7,6,0.0,0.97,100.0,6.932031250000015,0.05870575245722467,6.962962962962963,28,1,reasonable converter boundary
7,6,0.004,1.0,100.0,6.932031250000015,0.04644464152847725,6.962962962962963,28,1,reasonable converter boundary
7,6,0.004,0.97,100.0,6.932031250000015,0.05870575245722467,6.962962962962963,28,1,reasonable converter boundary
7,6,0.012,1.0,100.0,6.932031250000015,0.05870575245722467,6.962962962962963,28,1,reasonable converter boundary
7,6,0.012,0.97,100.0,6.932031250000015,0.04644464152847725,6.962962962962963,28,1,reasonable converter boundary
8,6,0.0,1.0,100.0,6.932031250000015,0.05005694304455735,12.888888888888888,32,0,precision costs more than the error reduction justifies
8,6,0.0,0.97,100.0,6.932031250000015,0.07556832080907158,12.888888888888888,32,0,precision costs more than the error reduction justifies
8,6,0.004,1.0,100.0,6.932031250000015,0.03760628956286574,12.888888888888888,32,0,precision costs more than the error reduction justifies
8,6,0.004,0.97,100.0,6.932031250000015,0.07556832080907158,12.888888888888888,32,0,precision costs more than the error reduction justifies
8,6,0.012,1.0,100.0,6.932031250000015,0.05718756787887616,12.888888888888888,32,0,precision costs more than the error reduction justifies
8,6,0.012,0.97,100.0,6.932031250000015,0.05718756787887616,12.888888888888888,32,0,precision costs more than the error reduction justifies
3,7,0.0,1.0,100.0,6.932031250000015,0.3889029604082076,2.8148148148148144,12,0,too much model-facing error
3,7,0.0,0.97,100.0,6.932031250000015,0.3889029604082076,2.8148148148148144,12,0,too much model-facing error
3,7,0.004,1.0,100.0,6.932031250000015,0.3889029604082076,2.8148148148148144,12,0,too much model-facing error
3,7,0.004,0.97,100.0,6.932031250000015,0.3889029604082076,2.8148148148148144,12,0,too much model-facing error
3,7,0.012,1.0,100.0,6.932031250000015,0.3889029604082076,2.8148148148148144,12,0,too much model-facing error
3,7,0.012,0.97,100.0,6.932031250000015,0.3889029604082076,2.8148148148148144,12,0,too much model-facing error
4,7,0.0,1.0,100.0,6.932031250000015,0.3796196183080618,2.8148148148148144,16,0,too much model-facing error
4,7,0.0,0.97,100.0,6.932031250000015,0.3796196183080618,2.8148148148148144,16,0,too much model-facing error
4,7,0.004,1.0,100.0,6.932031250000015,0.3796196183080618,2.8148148148148144,16,0,too much model-facing error
4,7,0.004,0.97,100.0,6.932031250000015,0.3796196183080618,2.8148148148148144,16,0,too much model-facing error
4,7,0.012,1.0,100.0,6.932031250000015,0.3796196183080618,2.8148148148148144,16,0,too much model-facing error
4,7,0.012,0.97,100.0,6.932031250000015,0.3796196183080618,2.8148148148148144,16,0,too much model-facing error
5,7,0.0,1.0,100.0,6.932031250000015,0.1851205305395241,3.5555555555555554,20,0,too much model-facing error
5,7,0.0,0.97,100.0,6.932031250000015,0.1851205305395241,3.5555555555555554,20,0,too much model-facing error
5,7,0.004,1.0,100.0,6.932031250000015,0.1851205305395241,3.5555555555555554,20,0,too much model-facing error
5,7,0.004,0.97,100.0,6.932031250000015,0.1851205305395241,3.5555555555555554,20,0,too much model-facing error
5,7,0.012,1.0,100.0,6.932031250000015,0.1851205305395241,3.5555555555555554,20,0,too much model-facing error
5,7,0.012,0.97,100.0,6.932031250000015,0.1851205305395241,3.5555555555555554,20,0,too much model-facing error
6,7,0.0,1.0,100.0,6.932031250000015,0.09000426441791687,5.037037037037036,24,1,reasonable converter boundary
6,7,0.0,0.97,100.0,6.932031250000015,0.09000426441791687,5.037037037037036,24,1,reasonable converter boundary
